Grupo,Altura,Largura,Especie
0,1.4,0.2,"Setosa"
0,1.4,0.2,"Setosa"
0,1.3,0.2,"Setosa"
5,1.5,0.2,"Setosa"
0,1.4,0.2,"Setosa"
4,1.7,0.4,"Setosa"
5,1.4,0.3,"Setosa"
5,1.5,0.2,"Setosa"
0,1.4,0.2,"Setosa"
5,1.5,0.1,"Setosa"
5,1.5,0.2,"Setosa"
7,1.6,0.2,"Setosa"
0,1.4,0.1,"Setosa"
0,1.1,0.1,"Setosa"
0,1.2,0.2,"Setosa"
5,1.5,0.4,"Setosa"
0,1.3,0.4,"Setosa"
5,1.4,0.3,"Setosa"
7,1.7,0.3,"Setosa"
5,1.5,0.3,"Setosa"
7,1.7,0.2,"Setosa"
5,1.5,0.4,"Setosa"
0,1,0.2,"Setosa"
4,1.7,0.5,"Setosa"
7,1.9,0.2,"Setosa"
7,1.6,0.2,"Setosa"
4,1.6,0.4,"Setosa"
5,1.5,0.2,"Setosa"
0,1.4,0.2,"Setosa"
7,1.6,0.2,"Setosa"
7,1.6,0.2,"Setosa"
5,1.5,0.4,"Setosa"
5,1.5,0.1,"Setosa"
0,1.4,0.2,"Setosa"
5,1.5,0.2,"Setosa"
0,1.2,0.2,"Setosa"
0,1.3,0.2,"Setosa"
0,1.4,0.1,"Setosa"
0,1.3,0.2,"Setosa"
5,1.5,0.2,"Setosa"
0,1.3,0.3,"Setosa"
0,1.3,0.3,"Setosa"
0,1.3,0.2,"Setosa"
4,1.6,0.6,"Setosa"
4,1.9,0.4,"Setosa"
5,1.4,0.3,"Setosa"
7,1.6,0.2,"Setosa"
0,1.4,0.2,"Setosa"
5,1.5,0.2,"Setosa"
0,1.4,0.2,"Setosa"
9,4.7,1.4,"Versicolor"
9,4.5,1.5,"Versicolor"
6,4.9,1.5,"Versicolor"
8,4,1.3,"Versicolor"
9,4.6,1.5,"Versicolor"
9,4.5,1.3,"Versicolor"
6,4.7,1.6,"Versicolor"
8,3.3,1,"Versicolor"
9,4.6,1.3,"Versicolor"
8,3.9,1.4,"Versicolor"
8,3.5,1,"Versicolor"
9,4.2,1.5,"Versicolor"
8,4,1,"Versicolor"
9,4.7,1.4,"Versicolor"
8,3.6,1.3,"Versicolor"
9,4.4,1.4,"Versicolor"
9,4.5,1.5,"Versicolor"
8,4.1,1,"Versicolor"
9,4.5,1.5,"Versicolor"
8,3.9,1.1,"Versicolor"
3,4.8,1.8,"Versicolor"
8,4,1.3,"Versicolor"
6,4.9,1.5,"Versicolor"
9,4.7,1.2,"Versicolor"
9,4.3,1.3,"Versicolor"
9,4.4,1.4,"Versicolor"
6,4.8,1.4,"Versicolor"
6,5,1.7,"Versicolor"
9,4.5,1.5,"Versicolor"
8,3.5,1,"Versicolor"
8,3.8,1.1,"Versicolor"
8,3.7,1,"Versicolor"
8,3.9,1.2,"Versicolor"
6,5.1,1.6,"Versicolor"
9,4.5,1.5,"Versicolor"
9,4.5,1.6,"Versicolor"
6,4.7,1.5,"Versicolor"
9,4.4,1.3,"Versicolor"
8,4.1,1.3,"Versicolor"
8,4,1.3,"Versicolor"
9,4.4,1.2,"Versicolor"
9,4.6,1.4,"Versicolor"
8,4,1.2,"Versicolor"
8,3.3,1,"Versicolor"
9,4.2,1.3,"Versicolor"
9,4.2,1.2,"Versicolor"
9,4.2,1.3,"Versicolor"
9,4.3,1.3,"Versicolor"
8,3,1.1,"Versicolor"
8,4.1,1.3,"Versicolor"
2,6,2.5,"Virginica"
3,5.1,1.9,"Virginica"
1,5.9,2.1,"Virginica"
1,5.6,1.8,"Virginica"
1,5.8,2.2,"Virginica"
2,6.6,2.1,"Virginica"
9,4.5,1.7,"Virginica"
2,6.3,1.8,"Virginica"
1,5.8,1.8,"Virginica"
2,6.1,2.5,"Virginica"
3,5.1,2,"Virginica"
3,5.3,1.9,"Virginica"
1,5.5,2.1,"Virginica"
3,5,2,"Virginica"
3,5.1,2.4,"Virginica"
1,5.3,2.3,"Virginica"
1,5.5,1.8,"Virginica"
2,6.7,2.2,"Virginica"
2,6.9,2.3,"Virginica"
6,5,1.5,"Virginica"
1,5.7,2.3,"Virginica"
3,4.9,2,"Virginica"
2,6.7,2,"Virginica"
3,4.9,1.8,"Virginica"
1,5.7,2.1,"Virginica"
1,6,1.8,"Virginica"
3,4.8,1.8,"Virginica"
3,4.9,1.8,"Virginica"
1,5.6,2.1,"Virginica"
1,5.8,1.6,"Virginica"
2,6.1,1.9,"Virginica"
2,6.4,2,"Virginica"
1,5.6,2.2,"Virginica"
6,5.1,1.5,"Virginica"
1,5.6,1.4,"Virginica"
2,6.1,2.3,"Virginica"
1,5.6,2.4,"Virginica"
1,5.5,1.8,"Virginica"
3,4.8,1.8,"Virginica"
1,5.4,2.1,"Virginica"
1,5.6,2.4,"Virginica"
3,5.1,2.3,"Virginica"
3,5.1,1.9,"Virginica"
1,5.9,2.3,"Virginica"
1,5.7,2.5,"Virginica"
3,5.2,2.3,"Virginica"
3,5,1.9,"Virginica"
3,5.2,2,"Virginica"
1,5.4,2.3,"Virginica"
3,5.1,1.8,"Virginica"
